ID,Opened,Closed,Fixed version,Created version,,Days to fix,Open issues at closing,ClosedTimestamp,AllLabels
1522,2011-02-20,2011-02-28,2_13_52,2.13.47,,8,1,Windows - problem with accented characters in file name,"Type-Build, Priority-Critical, Regression, OpSys-Windows, fixed_2_13_52"
1522,2011-02-20,2011-02-28,2_13_52,,,8,2,Windows - problem with accented characters in file name,"Type-Build, Priority-Critical, Regression, OpSys-Windows, fixed_2_13_52"
1545,2011-03-01,2011-03-03,2_13_53,2.13.51?,,2,1,Volta repeat marks are misplaced in some circumstances,"Type-Defect, Priority-Critical, Regression, fixed_2_13_53"
1545,2011-03-01,2011-03-03,2_13_53,,,2,2,Volta repeat marks are misplaced in some circumstances,"Type-Defect, Priority-Critical, Regression, fixed_2_13_53"
1550,2011-03-05,2011-03-05,2_13_53,2.13.52,,1,1,Cannot place ossia staves with lyrics correctly,"Type-Defect, Priority-Critical, Regression, fixed_2_13_53"
1550,2011-03-05,2011-03-05,2_13_53,,,1,2,Cannot place ossia staves with lyrics correctly,"Type-Defect, Priority-Critical, Regression, fixed_2_13_53"
1565,2011-03-15,2011-03-18,2_13_54,2.13.52,One of the big beam-avoid challenges,3,1,Changing staff with manual beaming can give very long stems,"Type-Defect, Priority-Critical, Regression, fixed_2_13_54"
1565,2011-03-15,2011-03-18,2_13_54,,,3,2,Changing staff with manual beaming can give very long stems,"Type-Defect, Priority-Critical, Regression, fixed_2_13_54"
1570,2011-03-21,2011-03-22,2_13_55,Not stated,,2,1,Fixes accidental suggestions in the beam collision engraver ,"Type-Defect, Priority-Critical, regression, Patch-review, fixed_2_13_55"
1570,2011-03-21,2011-03-22,2_13_55,,,2,2,Fixes accidental suggestions in the beam collision engraver ,"Type-Defect, Priority-Critical, regression, Patch-review, fixed_2_13_55"
1593,2011-04-05,2011-04-05,#VALUE!,,,1,1,midi output eats rests when absolute dynamics are used,"Type-Defect, Regression, Priority-Critical"
1593,2011-04-05,2011-04-05,#VALUE!,,,1,2,midi output eats rests when absolute dynamics are used,"Type-Defect, Regression, Priority-Critical"
1601,2011-04-08,2011-04-10,2_13_59,,,2,1,Autobeaming in 12/8 produces incorrect result,"Type-Defect, Priority-Critical, Regression, fixed_2_13_59"
1601,2011-04-08,2011-04-10,2_13_59,,,2,2,Autobeaming in 12/8 produces incorrect result,"Type-Defect, Priority-Critical, Regression, fixed_2_13_59"
1605,2011-04-10,2011-04-19,"2_15_0, fixed_2_13_61",,,9,1,PS -> PDF conversion fails,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1605,2011-04-10,2011-04-19,"2_15_0, fixed_2_13_61",,,9,2,PS -> PDF conversion fails,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1612,2011-04-14,2011-05-03,"2_15_0, fixed_2_13_62",,,19,3,Change staff produces long stems,"Type-Collision, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_62"
1612,2011-04-14,2011-05-03,"2_15_0, fixed_2_13_62",,,19,4,Change staff produces long stems,"Type-Collision, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_62"
1613,2011-04-14,2011-05-04,"2_15_0, fixed_2_13_62",,,21,5,Beamed stems too long when avoiding low note in other voice,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_62"
1613,2011-04-14,2011-05-04,"2_15_0, fixed_2_13_62",,,21,6,Beamed stems too long when avoiding low note in other voice,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_62"
1619,2011-04-17,2011-04-19,"2_15_0, fixed_2_13_61",,,2,7,Incorrect beam/stem,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1619,2011-04-17,2011-04-19,"2_15_0, fixed_2_13_61",,,2,8,Incorrect beam/stem,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1620,2011-04-17,2011-04-21,"2_15_0, fixed_2_13_61",,,4,9,Midi overflow with instrument changes,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1620,2011-04-17,2011-04-21,"2_15_0, fixed_2_13_61",,,4,10,Midi overflow with instrument changes,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1622,2011-04-17,2011-04-18,"2_15_0, Regression, fixed_2_13_62",,,2,11,Dynamic spanner not printed within grace notes,"Type-Defect, Priority-Critical, fixed_2_15_0, Regression, fixed_2_13_62"
1622,2011-04-17,2011-04-18,"2_15_0, Regression, fixed_2_13_62",,,2,12,Dynamic spanner not printed within grace notes,"Type-Defect, Priority-Critical, fixed_2_15_0, Regression, fixed_2_13_62"
1636,2011-04-25,2011-04-26,"2_15_0, fixed_2_13_61",,,1,5,midiVolume 0.0 not respected,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_61"
1646,2011-05-05,2011-05-05,"2_15_0, fixed_2_13_62",,,1,1,MIDI output on incorrect channels (using GUB build),"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_62"
1648,2011-05-07,2011-05-29,"2_15_0, fixed_2_13_63",,,23,1,MIDI: no defined order between a simultaneous note-on and note-off,"Type-Defect, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_63"
1654,2011-05-15,2011-05-26,"2_15_0, fixed_2_13_62",,,11,2,Collision between lyrics and items on the next system,"Type-Collision, Priority-Critical, Regression, fixed_2_15_0, fixed_2_13_62"
1695,2011-06-15,,#VALUE!,,,-15,0,Clef change placed outside score,"Type-Defect, Priority-Critical, Regression"
1706,2011-06-23,2011-06-25,"2_15_3, backport",,,3,1,Beaming causes lilypond to crash,"Type-Defect, Priority-Critical, Regression, fixed_2_15_3, backport"
